"train/global_step","battleship-grpo-1.7B - _step","battleship-grpo-1.7B - _step__MIN","battleship-grpo-1.7B - _step__MAX","battleship-grpo-1.7B - train/rewards/sink_reward_func","battleship-grpo-1.7B - train/rewards/sink_reward_func__MIN","battleship-grpo-1.7B - train/rewards/sink_reward_func__MAX"
"1","0","0","0","0.11250000447034836","0.11250000447034836","0.11250000447034836"
"76","76","76","76","0.11250000447034836","0.11250000447034836","0.11250000447034836"
"151","152","152","152","0","0","0"
"226","228","228","228","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"301","304","304","304","0.07500000298023224","0.07500000298023224","0.07500000298023224"
"376","380","380","380","0.11250000447034836","0.11250000447034836","0.11250000447034836"
"451","456","456","456","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"526","532","532","532","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"601","608","608","608","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"676","684","684","684","0.07500000298023224","0.07500000298023224","0.07500000298023224"
"751","760","760","760","0","0","0"
"826","836","836","836","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"901","912","912","912","0.07500000298023224","0.07500000298023224","0.07500000298023224"
"976","988","988","988","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"1051","1064","1064","1064","0.11250000447034836","0.11250000447034836","0.11250000447034836"
"1126","1140","1140","1140","0","0","0"